amount,transaction_hour,transactions_last_10min,failed_attempts,new_device,location_change,account_age_days,previous_chargebacks,ip_repeat_count,merchant_tx_per_min,failure_rate_5m,fraud
2088.15,15,3,0,0,0,539,0,2,19.51,4.7,0
4648.55,23,2,1,0,0,759,0,2,23.85,4.61,0
3725.46,22,4,1,0,0,1102,0,4,10.27,1.87,0
19572.25,17,2,0,0,0,444,0,0,15.67,9.77,0
2831.82,19,2,2,0,0,234,0,3,14.53,0.31,0
1243.06,14,0,1,0,0,156,0,1,25.94,1.3,0
4395.07,5,4,0,1,0,380,1,0,20.43,13.49,1
4587.07,2,2,0,1,0,74,0,0,24.0,1.54,0
15171.09,9,4,1,0,0,296,0,1,13.66,15.24,0
8750.51,11,1,1,0,0,728,0,0,9.34,1.16,0
5296.04,8,3,1,0,0,709,0,1,11.19,2.95,0
16923.66,2,2,0,1,0,239,0,2,25.48,8.39,0
1045.03,12,3,1,1,0,532,0,4,24.56,1.76,0
1859.87,11,2,1,0,0,506,0,0,20.99,5.01,0
1376.22,22,1,1,0,0,218,0,0,21.21,7.26,0
2418.01,22,1,0,0,0,453,0,0,17.59,6.11,0
857.89,14,4,0,0,0,95,0,2,14.48,4.0,0
7093.32,20,8,0,1,0,158,0,0,18.38,3.49,0
2883.23,7,1,0,0,0,493,0,6,8.41,0.73,0
777.17,23,3,1,0,0,94,0,2,15.3,6.71,0
1253.43,22,4,1,0,0,65,1,2,33.98,4.97,1
5060.34,3,2,0,0,0,607,0,4,17.55,25.0,1
8778.25,16,1,1,0,0,77,0,2,17.23,7.93,0
29630.73,10,4,2,1,0,213,0,1,20.59,9.95,1
77618.07,6,2,0,0,0,950,0,1,13.27,6.91,0
5625.86,9,3,1,0,0,144,0,1,11.51,12.05,0
1288.18,21,2,2,0,0,566,0,3,20.28,11.35,0
388.13,22,1,1,0,0,265,0,1,19.36,9.82,0
4822.74,8,4,1,0,0,388,0,2,15.57,1.7,0
1550.62,11,6,0,1,0,217,0,1,2.0,7.81,0
2354.01,12,1,2,0,0,644,0,4,31.95,3.86,0
1914.67,17,3,1,0,0,483,0,2,30.29,1.1,0
3140.6,11,0,0,0,0,600,0,2,26.71,6.1,0
11150.94,9,4,0,0,1,656,0,1,12.31,2.79,0
4293.69,22,0,0,1,0,582,0,3,12.21,2.58,0
3082.31,8,1,3,0,0,401,1,0,15.58,2.82,1
1227.29,6,1,3,0,0,416,0,1,13.3,9.75,0
627.4,7,3,1,1,0,212,0,1,5.12,7.1,0
2185.01,7,1,1,0,0,349,0,2,15.49,4.2,0
3441.04,13,3,2,0,0,528,0,1,17.79,25.0,1
23302.74,15,2,1,0,0,276,0,1,10.11,3.82,0
4174.66,3,2,2,0,0,342,0,3,19.04,1.44,0
10217.7,21,3,2,0,0,88,0,0,18.61,6.34,0
2155.42,6,0,1,0,0,197,0,0,24.66,10.26,0
1049.23,2,2,0,0,0,433,0,1,16.2,18.71,1
1321.64,16,2,1,0,0,403,0,3,29.78,6.63,0
1700.22,5,4,3,1,0,474,0,0,19.76,2.11,0
34026.44,18,5,1,0,0,1070,0,0,16.62,20.1,1
1536.93,22,3,0,0,0,405,0,3,27.15,7.81,0
8781.6,16,1,1,1,0,246,0,2,20.64,0.43,0
1410.82,18,1,0,0,0,388,0,0,14.82,2.7,0
9683.24,11,2,0,0,0,1523,2,1,18.15,2.45,0
5454.51,8,4,0,0,0,356,0,1,24.61,2.83,0
3088.78,14,3,0,0,0,59,0,1,20.69,7.72,0
3488.4,8,2,0,1,0,1315,0,0,21.37,6.63,0
1830.74,21,2,2,1,0,462,0,0,24.65,4.3,0
5816.05,11,2,2,0,0,232,0,1,12.17,8.41,0
2258.07,11,3,0,1,0,281,0,1,15.6,3.79,0
1005.37,16,5,0,0,0,208,0,1,21.95,2.58,0
951.62,4,4,0,1,0,108,0,0,27.66,2.93,0
4364.32,13,1,1,0,0,778,0,2,19.83,8.38,0
19111.51,18,1,0,0,0,643,0,1,25.59,3.46,0
4306.98,18,4,1,0,0,168,0,2,18.52,3.27,0
3214.51,5,5,1,0,0,288,0,1,23.84,8.49,0
4915.35,1,7,0,0,0,870,0,1,15.62,11.01,0
14347.08,4,0,0,0,0,177,0,1,24.32,3.0,0
4584.11,19,8,0,0,0,167,0,0,15.02,8.1,0
2364.98,6,3,0,0,0,732,0,0,21.86,4.81,0
11633.02,1,2,0,1,0,413,0,1,8.57,10.35,0
5711.26,14,4,1,0,0,1021,0,2,13.9,4.17,0
18261.38,21,3,2,0,0,631,0,3,21.8,8.93,0
4413.38,5,2,0,0,0,444,0,0,8.86,2.8,0
1006.57,1,0,0,0,0,141,0,2,10.24,14.28,0
865.61,3,1,0,0,0,1072,0,1,13.43,4.89,0
20608.82,3,5,3,0,0,798,0,0,14.78,5.44,1
22244.48,4,2,0,0,0,580,0,2,13.92,1.83,0
3015.45,4,2,1,0,0,769,0,0,13.5,6.31,0
2434.88,15,2,0,0,1,256,0,2,17.34,20.98,1
16890.67,5,0,0,0,0,312,0,0,20.61,4.82,0
1138.65,13,3,0,0,0,85,0,1,12.91,3.12,0
1423.02,9,3,0,0,1,453,0,1,24.77,6.63,0
7154.47,15,3,1,0,0,170,0,1,14.52,2.03,0
2405.86,15,5,1,0,0,254,0,3,20.63,3.7,0
3621.42,14,2,0,0,0,47,1,1,11.8,5.27,0
3066.78,21,3,0,0,0,887,0,0,11.44,7.29,0
5189.81,4,6,0,0,0,645,0,3,17.34,1.43,0
15960.24,12,4,1,0,0,82,0,0,8.02,0.46,0
4004.26,9,2,0,1,0,721,0,2,21.7,19.27,1
7159.07,12,1,1,1,0,256,0,2,14.76,8.3,0
422.98,3,1,0,0,0,142,0,0,23.21,9.5,0
3459.38,7,2,0,0,0,176,0,0,14.92,6.7,0
1502.08,22,2,0,0,0,462,0,1,22.34,13.58,0
1012.57,19,5,0,0,0,862,0,1,14.46,5.99,0
1448.0,10,2,2,0,1,83,0,0,24.32,2.01,0
2563.61,2,2,2,0,0,752,0,3,20.49,8.56,0
9525.21,15,2,1,0,0,276,0,0,19.6,6.34,0
904.41,7,0,1,0,0,557,0,3,24.98,0.72,0
3759.96,7,4,0,0,0,114,0,1,27.72,0.93,0
2189.92,2,5,1,0,0,201,0,3,26.48,3.25,0
2581.03,6,2,2,0,0,272,0,1,25.62,4.97,0
10434.74,5,4,2,0,0,202,0,0,21.88,7.3,0
6406.2,0,1,2,0,0,600,0,2,22.07,5.57,0
14827.93,14,5,0,0,0,317,1,0,20.44,3.81,0
3095.7,23,1,1,0,0,253,2,3,16.7,10.91,1
1753.31,3,1,0,1,0,437,0,1,20.8,2.32,0
2878.28,1,3,1,1,0,423,0,2,26.05,3.85,0
4696.73,2,5,0,0,0,422,0,3,19.54,1.61,0
4382.62,13,2,1,1,0,484,0,0,17.04,4.32,0
1166.07,19,4,1,0,0,1405,1,1,26.4,5.89,0
4003.86,7,2,0,1,0,162,0,1,9.25,1.65,0
4626.89,2,1,2,0,0,270,0,0,16.3,14.24,1
51192.47,2,2,1,0,1,456,0,4,18.99,2.19,0
26126.02,14,6,0,0,0,489,0,1,26.64,5.1,0
1486.37,8,1,2,0,0,199,0,0,10.38,12.78,1
2692.56,8,5,0,0,0,246,0,2,20.13,4.85,0
783.2,5,3,0,1,0,502,0,1,17.68,5.95,0
1958.15,21,1,0,0,0,340,0,1,14.28,4.38,0
5071.47,8,1,1,0,0,213,0,0,8.67,6.57,0
12915.02,16,3,0,1,1,640,0,2,24.64,10.94,0
1693.35,17,3,0,0,0,267,0,2,13.65,3.35,0
1831.97,1,3,1,0,0,479,0,0,28.47,4.64,0
381.97,5,2,1,1,0,300,0,1,18.71,4.14,0
3069.29,21,1,0,0,0,621,0,2,14.74,2.63,0
1193.28,21,3,0,0,0,166,0,3,16.53,0.98,0
2088.26,9,5,1,0,1,875,0,1,14.81,1.04,0
1449.97,3,3,1,0,0,1058,1,2,20.91,6.73,1
3297.84,7,2,0,0,0,126,0,1,19.49,4.28,0
575.01,22,3,0,1,0,635,0,0,17.77,1.59,0
780.24,16,2,0,0,0,407,0,1,25.46,15.52,0
34054.23,1,1,0,0,0,212,0,2,13.7,17.92,1
942.19,17,1,0,1,0,169,0,1,14.53,4.57,0
1150.99,3,2,0,0,0,233,0,0,20.22,7.52,0
25053.26,7,2,0,1,0,119,0,1,19.18,4.28,0
76904.57,11,4,0,0,0,305,0,1,25.66,3.83,0
1064.07,8,2,0,1,0,289,0,5,13.88,16.07,1
2473.37,16,1,1,1,0,311,0,2,20.18,7.96,0
5211.55,3,1,1,1,1,671,0,3,28.78,5.62,1
22362.32,21,4,2,0,0,241,0,1,14.8,9.93,1
1291.81,14,2,0,0,0,435,0,3,7.25,2.72,0
2814.27,7,3,1,0,0,225,0,0,20.24,7.92,0
8235.46,22,2,1,0,0,109,0,0,14.78,3.18,0
5747.41,11,3,1,0,0,244,0,2,27.15,1.81,0
2452.92,9,2,0,0,0,141,0,4,16.16,21.08,1
3163.66,0,4,3,0,0,632,0,0,16.2,3.38,0
859.51,23,2,0,0,0,608,0,1,25.29,8.89,0
2835.34,20,4,0,1,0,610,0,2,21.17,2.53,0
2752.58,4,0,0,0,0,527,0,1,8.92,0.41,0
4646.08,22,2,0,0,0,178,0,1,24.59,3.18,0
2032.27,19,0,0,0,0,245,0,0,23.63,5.1,0
5973.66,10,4,0,1,0,789,0,1,19.23,6.41,0
10544.41,22,0,1,0,0,925,0,0,15.36,9.93,0
4286.39,13,4,0,0,0,182,0,2,10.74,4.63,0
5267.67,16,2,0,0,0,130,0,0,22.35,6.02,0
3849.94,4,2,1,1,0,192,0,1,12.39,0.86,0
3641.27,2,3,1,0,0,643,0,0,17.39,2.19,0
1706.78,12,5,0,0,0,271,0,1,6.94,2.45,0
5076.2,7,6,1,0,1,390,0,2,14.3,2.9,0
3287.39,23,5,2,0,0,161,0,1,26.01,4.47,0
32788.29,2,6,0,0,0,386,0,2,21.38,3.71,0
18996.74,18,1,2,0,0,297,0,2,24.69,1.23,0
5459.64,14,4,0,0,0,574,0,1,15.65,11.49,0
1634.01,21,2,1,0,0,1348,0,3,21.85,4.38,0
1132.26,23,2,0,0,0,511,0,2,20.27,2.12,0
12717.07,20,5,1,0,0,69,0,2,4.08,10.68,0
4797.67,8,1,2,0,0,326,0,1,10.72,2.53,0
6027.88,16,3,0,0,0,443,0,3,12.96,4.58,0
583.0,3,7,1,0,0,1656,1,0,15.13,6.09,1
9641.29,11,3,0,0,0,171,0,4,19.58,4.79,0
5867.25,6,2,1,0,0,749,0,2,16.12,10.58,0
1134.61,6,4,0,0,0,479,0,0,16.49,5.32,0
2219.19,13,7,1,1,0,301,0,1,15.37,6.5,0
4802.55,3,3,0,0,0,1242,0,0,4.29,9.5,0
3847.16,13,4,2,0,0,1027,1,1,22.03,3.24,0
2679.06,9,2,0,1,1,240,0,2,12.46,4.04,0
3266.05,5,2,0,1,0,1174,0,1,14.56,4.29,0
2794.54,13,1,2,0,0,344,1,2,28.51,9.56,1
4273.51,18,1,1,0,0,236,0,1,18.41,3.05,0
17069.81,14,4,2,0,0,845,0,2,19.81,4.16,0
245.92,2,2,0,0,0,305,0,1,8.94,9.45,0
2839.28,13,5,2,0,0,600,0,2,14.37,13.11,1
4382.34,14,4,1,0,0,1294,0,3,8.08,8.77,0
4968.1,16,3,0,0,0,696,0,1,20.67,5.89,0
2463.87,10,2,1,0,0,153,0,2,23.28,1.4,0
575.62,2,4,1,1,0,706,0,0,19.45,9.52,1
5137.88,3,3,1,0,0,193,0,3,19.21,5.04,0
22330.7,7,7,0,1,0,179,0,1,27.03,7.05,0
727.38,15,3,0,1,0,343,0,0,12.96,3.88,0
9018.37,17,3,0,0,0,257,0,1,21.29,16.4,0
2578.72,16,2,1,1,1,759,0,0,14.29,3.42,0
3413.9,7,5,2,0,0,290,0,1,29.12,4.33,0
1205.27,10,4,2,0,0,341,0,2,17.73,2.88,0
2562.71,1,3,0,0,0,165,0,0,11.32,5.35,0
14257.62,19,3,0,1,0,439,0,1,22.61,1.89,0
6712.91,8,3,3,0,0,316,0,0,26.75,8.26,1
22447.34,12,4,1,0,0,694,0,2,20.64,1.86,0
12535.03,10,1,0,1,0,934,0,0,16.92,6.48,0
5773.54,6,3,0,0,0,657,0,0,22.42,2.72,0
22722.96,4,2,0,0,0,268,0,3,26.2,6.17,0
5772.97,22,1,2,1,0,452,0,1,11.26,3.52,0
8685.3,2,2,0,1,0,566,0,2,17.27,4.01,0
2666.71,22,3,0,0,0,261,0,0,5.91,4.96,0
3904.45,2,2,1,0,0,346,0,0,24.26,12.37,0
1750.58,2,1,1,1,0,347,0,2,6.96,7.11,0
10291.39,21,2,0,1,0,468,0,0,16.16,6.32,0
1056.57,22,2,1,0,0,542,0,3,16.46,4.66,0
8278.92,21,3,1,0,0,275,0,0,26.07,8.17,0
2980.41,18,0,0,0,1,153,0,0,25.35,1.04,0
12454.15,11,3,0,0,0,120,0,4,13.89,6.61,0
8009.73,2,1,0,0,0,438,0,2,20.37,3.64,0
24628.96,14,3,2,0,0,874,0,1,19.62,8.19,0
7842.5,12,4,2,0,0,114,0,0,15.26,6.07,0
698.8,17,3,3,0,0,226,0,2,14.52,4.08,0
3393.78,0,1,1,1,0,482,0,1,18.56,9.72,0
1063.58,1,4,0,0,0,948,0,1,14.58,7.7,0
2112.88,14,6,0,0,0,445,0,2,13.14,2.36,0
17797.08,20,4,0,0,0,56,0,3,16.47,2.99,0
7111.09,22,2,0,0,0,413,0,1,17.49,6.6,0
1747.82,13,1,0,1,0,376,0,1,25.61,6.58,0
1255.89,8,2,0,1,0,62,0,1,27.83,6.87,0
3768.46,11,2,0,0,0,1023,0,1,12.13,6.1,0
1014.97,12,2,1,0,0,57,0,0,17.27,7.93,0
1799.57,14,1,2,0,0,677,0,0,13.18,0.7,0
5052.36,5,3,0,0,0,239,0,1,2.0,2.26,0
12247.51,9,1,0,0,0,288,0,2,11.84,8.38,0
6899.47,12,2,1,0,0,91,0,0,10.07,1.87,0
328.37,20,1,1,0,0,216,1,1,9.31,1.86,0
5011.97,19,2,0,1,0,1197,0,2,13.68,5.7,0
3927.02,18,6,0,0,0,713,0,1,9.5,3.38,0
5622.8,5,3,1,0,0,226,0,0,16.14,3.46,0
19871.07,9,2,0,0,0,723,0,3,19.01,2.86,0
417.21,13,0,0,1,0,200,0,3,14.09,9.67,0
1957.34,23,3,1,0,0,282,0,1,9.93,1.97,0
6771.32,8,4,1,1,0,414,0,3,19.45,1.01,0
691.82,22,1,0,0,0,309,1,2,25.48,4.9,0
17149.88,17,2,0,0,1,583,0,2,15.76,5.63,0
5360.3,15,4,0,0,0,70,0,1,13.34,15.91,0
8856.56,16,2,0,0,0,83,0,0,23.05,3.1,0
1999.21,19,1,1,0,0,233,0,1,17.76,16.63,1
8556.55,16,5,0,0,0,257,0,0,23.72,10.42,0
11180.15,16,2,0,0,0,297,0,3,17.15,0.32,0
4649.53,9,3,1,0,0,110,0,0,9.27,1.77,0
4656.97,10,2,0,1,0,351,0,2,24.81,2.5,0
4836.08,14,6,0,0,0,298,0,1,10.18,0.66,0
1470.69,20,3,0,1,0,446,1,3,22.77,5.38,0
3118.46,15,1,0,0,0,214,0,2,17.28,2.05,0
3102.15,23,4,0,0,0,621,0,5,31.65,3.21,0
5445.6,16,3,0,0,0,413,0,4,14.9,11.66,0
10402.65,9,1,1,0,0,191,0,1,12.92,7.36,0
1198.15,13,2,1,0,0,267,0,2,16.89,7.38,0
3193.08,14,1,1,0,0,396,0,1,20.02,6.07,0
17249.33,20,5,0,0,0,771,0,3,18.11,17.87,1
1667.75,6,1,3,1,0,425,0,2,7.61,7.73,1
1535.54,5,1,0,0,0,345,0,3,27.77,7.23,0
4502.65,4,3,0,0,0,548,0,1,22.69,1.56,0
8836.13,1,4,0,0,0,392,0,1,19.3,5.63,0
3684.9,16,1,1,0,0,649,0,3,16.84,5.37,0
14697.15,23,1,2,1,0,361,0,3,21.2,7.59,0
8952.01,14,5,0,0,0,1109,1,2,12.61,8.32,0
8812.36,1,4,0,0,0,1218,0,0,16.8,12.61,0
6514.74,8,3,3,1,0,486,0,0,24.78,6.05,0
41941.7,21,0,0,0,0,1023,0,3,20.32,9.73,0
2935.34,1,6,3,1,0,52,1,2,12.03,10.76,1
444.21,14,4,0,0,0,166,0,3,23.8,3.49,0
19623.19,10,2,0,0,1,335,0,1,13.45,3.78,0
2251.64,22,5,0,1,0,648,0,2,19.13,14.29,1
4077.64,12,2,1,1,0,352,0,1,18.89,9.61,0
14400.64,13,2,1,0,0,279,0,3,19.88,3.03,0
676.97,17,3,0,0,0,103,0,1,23.81,1.74,0
978.26,19,1,0,0,0,314,0,3,8.49,12.39,0
677.67,12,4,0,0,0,307,0,2,13.13,6.31,0
1581.54,17,3,0,0,0,830,0,0,11.73,0.33,0
5776.88,19,1,1,0,0,322,0,1,11.47,2.67,0
6313.2,12,1,1,0,0,170,0,0,6.42,5.63,0
4866.29,17,6,1,0,0,544,0,2,19.91,4.35,0
826.0,8,4,0,0,0,194,0,3,2.69,1.21,0
321.95,8,2,1,0,0,291,0,0,12.92,9.19,0
3854.79,0,2,0,1,1,222,0,1,22.88,8.28,0
2218.61,16,2,0,0,0,202,0,2,28.85,6.59,0
5897.92,6,3,1,0,0,716,0,1,29.42,2.8,0
7608.73,19,5,1,1,0,152,0,1,23.78,7.06,0
4209.73,22,4,0,0,0,299,0,1,9.44,5.88,0
8088.02,21,3,1,0,0,319,0,1,19.15,6.38,0
4631.67,6,3,1,0,0,629,1,1,19.28,1.55,0
6352.27,15,5,2,0,1,133,0,2,4.83,5.2,1
1737.31,18,3,1,1,0,544,0,1,8.51,8.35,0
3015.16,12,3,0,0,0,356,0,2,32.15,1.68,0
4476.58,12,1,2,1,0,363,0,1,6.91,25.0,1
8617.54,10,4,0,0,0,520,0,1,18.3,8.75,0
2408.05,7,2,0,0,0,113,0,1,32.76,1.23,0
6293.2,13,2,0,0,0,382,0,2,15.0,3.26,0
2754.16,23,2,2,0,0,26,0,0,28.11,2.09,0
3218.21,5,1,3,0,0,667,0,2,16.84,4.75,0
8699.28,1,3,0,0,0,543,0,1,10.76,3.14,0
449.12,1,2,1,0,0,140,0,1,19.03,5.79,0
933.28,13,1,2,0,0,169,1,2,11.32,22.75,1
767.94,6,1,0,0,0,316,0,3,17.04,2.04,0
314.1,11,4,0,0,0,1060,0,1,16.0,7.57,0
1786.16,22,3,0,0,0,218,0,0,24.52,4.67,0
7997.67,1,2,0,1,0,445,0,1,18.41,4.72,0
2699.63,4,1,2,1,0,207,0,1,23.13,7.56,1
4481.35,5,3,1,0,0,282,0,0,18.58,0.29,0
11426.36,10,6,0,1,0,177,0,1,21.11,8.47,0
14677.49,16,6,0,0,0,882,0,1,17.19,4.19,0
3386.0,4,2,1,0,0,587,0,1,13.89,8.19,0
15082.12,2,3,3,0,0,335,0,2,20.39,3.35,0
4010.75,2,1,0,1,0,277,0,2,17.83,4.8,0
1511.31,19,2,0,0,1,113,0,0,17.89,7.43,0
1950.58,0,2,0,1,0,133,0,0,21.95,4.51,0
769.27,15,2,2,0,0,809,1,2,12.97,2.97,0
1432.91,13,9,0,0,0,292,0,0,10.9,5.12,0
2500.09,2,4,0,0,1,885,0,2,8.63,10.55,0
8465.58,13,3,0,0,0,309,0,0,14.32,5.8,0
22176.94,6,1,0,1,0,58,0,0,12.58,7.48,0
852.96,12,1,0,0,0,329,0,0,15.75,13.67,0
5499.81,3,0,0,0,0,460,0,1,8.74,1.07,0
1221.0,16,3,0,0,0,169,0,1,18.44,11.93,0
5993.51,19,5,0,0,1,447,0,0,16.68,3.73,0
3172.77,0,4,0,0,0,185,0,1,22.97,8.85,0
532.48,12,2,0,0,0,389,0,1,29.23,3.88,0
9649.99,15,4,0,0,0,883,0,1,26.11,2.69,0
1928.99,0,1,0,1,0,365,0,1,9.45,9.61,0
2078.51,17,4,1,0,0,561,0,0,7.14,0.88,0
1184.13,13,2,0,0,0,639,0,1,13.94,18.52,0
1831.71,7,7,0,0,0,447,0,2,17.19,0.7,0
5706.07,11,7,0,0,0,589,0,0,19.9,2.57,0
2984.82,16,4,2,1,1,443,1,0,17.58,1.37,1
5141.47,15,5,0,0,0,392,0,3,15.84,2.08,0
5324.2,18,4,1,0,0,452,0,1,15.31,7.35,0
14569.63,0,4,1,0,0,421,0,0,20.48,2.4,0
2540.39,18,3,1,0,0,631,1,0,14.54,7.01,0
772.24,0,3,0,0,0,501,0,0,12.06,3.75,0
11165.5,15,2,0,0,0,416,1,3,17.24,7.9,0
